"brand","model","image_status","product_page","source_image","workbook_advantage"
"Decathlon","Jogflow 100.1","verified-image","https://www.decathlon.de/p/laufschuhe-herren-jogflow-100-1-schwarz-grau/337693/c382c227m8733464","https://contents.mediadecathlon.com/p3064149/k%2416c1a92946c8062aac7a07053127ad98/picture.jpg?f=3000x0&format=auto","Günstig, bequem, erster Einstieg"
"Decathlon","Jogflow 190 Premium","verified-image","https://www.decathlon.de/p/laufschuhe-herren-jogflow-190-1-dunkelblau/339940/c43c104c227m8874411","https://contents.mediadecathlon.com/p2636563/k%24630aadb09cb78af13a1efa373828275a/picture.jpg?f=3000x0&format=auto","Komfort, atmungsaktiv"
"Decathlon","Jogflow 190 Grip","verified-image","https://www.decathlon.de/p/laufschuhe-trailrunning-damen-jogflow-190-grip-schwarz-rosa/348767/c382c183c260m8913965","https://contents.mediadecathlon.com/p3064177/k%24054834f640e190a7b197ede67e279418/picture.jpg?f=3000x0&format=auto","Haftung auf verschiedenen Böden"
"Decathlon","Jogflow 190 Grip WP","verified-image","","https://contents.mediadecathlon.com/p3182774/k%240632489309fbcb62bfd9bbdfa44e49b7/picture.jpg","Wasserfest, Haftung — AW 2026"
"Asics","Gel Excite 11","verified-image","https://www.decathlon.de/p/laufschuhe-herren-asics-gel-excite-11/373644/m9030731","https://contents.mediadecathlon.com/p3171615/k$7a58b087bc0dbc492dfca25e9c1558f5/picture.jpg?format=auto&f=3000x0","Budget mit GEL-Dämpfung, Nimbus-inspiriert"
"Adidas","Galaxy 7","verified-image","https://www.decathlon.de/p/mp/galaxy-7-laufschuh/59698416-3285-4b2a-b066-d9075f2f1e9c/c16c195","https://contents.mediadecathlon.com/m24364028/k$d0c5000b85fb720d9c6cd1ba23f6a211/picture.jpg?format=auto&f=1920x0","Cloudfoam, komfortabler Alltag"
"Adidas","Runblaze","verified-image","https://www.decathlon.it/p/scarpe-running-uomo-adidas-runblaze-nere/_/R-p-361354","https://contents.mediadecathlon.com/p2777206/k%24d3da3e67d165b624b13a7a764fb2270d/picture.jpg","Leicht, Decathlon-exklusiv, Budget"
"New Balance","520 v9","verified-image","https://www.decathlon.de/p/laufschuhe-herren-new-balance-fresh-foam-520-v9-beige/364997/m9001464","https://contents.mediadecathlon.com/p3077987/k%244dc8b2bff6a199bcb18e8dd993136552/picture.jpg?f=3000x0&format=auto","Fresh Foam, Budget-Trainer, vielseitig & robust"
"Decathlon","Jogflow 190 Max","verified-image","https://www.decathlon.de/p/laufschuhe-herren-jogflow-190-max-grau/365587/c208c227m8958639","https://contents.mediadecathlon.com/p3088055/k%24425af218132f7ebe52981c340b076282/picture.jpg?f=3000x0&format=auto","Mehr Komfort, höherer Stack — AW 2026"
"Kiprun","Kipcore","verified-image","https://www.decathlon.de/p/laufschuhe-herren-kipcore-schwarz-weiss/353286/c381c183m8873071","https://contents.mediadecathlon.com/p3031060/k%24aea4484e033c5d4fe8840d93ee62a46e/picture.jpg?f=3000x0&format=auto","Alltagstrainer, solide Dämpfung"
"Kiprun","Kipcore Premium","verified-image","https://www.decathlon.de/p/laufschuhe-strasse-herren-vielseitig-kipcore-premium-blau/353370/c98c40c227m8958673","https://contents.mediadecathlon.com/p3144477/k%24f2d74790e549b914c4c9db4e1d450832/picture.jpg?f=3000x0&format=auto","Komfort-Upgrade des Kipcore"
"Kiprun","Kipride","verified-image","https://www.decathlon.de/p/laufschuhe-strasse-herren-kipride-malve/352928/c368c98c385m8960539","https://contents.mediadecathlon.com/p3030711/k%247e9de4719c932c6a344933c483af5376/chaussures-de-running-route-homme-kiprun-kipride-vert.jpg","Maximale Vielseitigkeit, leicht — SS 2026"
"Kiprun","Kipride Max","verified-image","https://www.decathlon.de/p/laufschuhe-strasse-herren-kipride-max-schwarz/362185/c382c383c208m8999015","https://contents.mediadecathlon.com/p3159571/k%24fabb86aea7204f0493a0c0a5d27767a7/picture.jpg?f=3000x0&format=auto","Maximale Komfort, geeignet bei Unterpronation — SS 2026"
