"brand","model","primary_category","secondary_category","surface","stability","drop","technologies","best_for_en","best_for_de","best_for_fr","display_image"
"DECATHLON","Jogflow 100.1","ENTRY LEVEL","DAILY TRAINER","Road","Neutral","4 mm","Foam cushioning | Flexible outsole | Rubber reinforcements","Beginner · First runs · 21 km","Anfänger · Erste Läufe · 21 km","Débutant · Premières sorties · 21 km","assets/shoes/decathlon--jogflow-100-1.webp"
"DECATHLON","Jogflow 190 Grip","TRAIL","ENTRY LEVEL","Trail","Neutral","8 mm","IMEVA foam · 17.5% softer | 3.5 mm lugs | Rubber/EVA outsole","Beginner · Trail running · 21 km","Anfänger · Trailrunning · 21 km","Débutant · Trail · 21 km","assets/shoes/decathlon--jogflow-190-grip.webp"
"DECATHLON","Jogflow 190 Grip WP","TRAIL","ENTRY LEVEL","Trail","Neutral","8 mm","Waterproof breathable upper | Soft IMEVA foam | 3.5 mm lugs","Beginner · wet roads and easy trails · up to 20 km","Anfänger · nasse Straßen und einfache Wege · bis 20 km","Débutant · routes humides et chemins faciles · jusqu’à 20 km","assets/shoes/decathlon--jogflow-190-grip-wp.webp"
"DECATHLON","Jogflow 190 Max","MAX CUSHION","DAILY TRAINER","Road","Neutral","8 mm","27% more cushioning | Breathable mesh | Padded heel & tongue","Beginner · comfortable short road runs · 1–10 km","Anfänger · komfortable kurze Straßenläufe · 1–10 km","Débutant · sorties route courtes et confortables · 1–10 km","assets/shoes/decathlon--jogflow-190-max.webp"
"DECATHLON","Jogflow 190 Premium","ENTRY LEVEL","DAILY TRAINER","Road","Neutral","4 mm","IMEVA foam | Flexible sole | Comfort 8.2/10","Beginner · first runs · short easy runs","Anfänger · erste Läufe · kurze lockere Läufe","Débutant · premières sorties · footings courts et faciles","assets/shoes/decathlon--jogflow-190-premium.webp"
"ASICS","Gel Windhawk 5","ENTRY LEVEL","DAILY TRAINER","Road","Neutral","8 mm","AMPLIFOAM+ | GEL technology | Engineered mesh","Beginner · short easy road runs · 1–10 km","Anfänger · kurze lockere Straßenläufe · 1–10 km","Débutant · sorties route courtes et faciles · 1–10 km","assets/shoes/asics--gel-windhawk-5.webp"
"ASICS","Gel Excite 11","ENTRY LEVEL","DAILY TRAINER","Road","Neutral","8 mm","AMPLIFOAM PLUS | Rearfoot GEL | Guidance Line","Beginner · easy daily road runs · short to middle distances","Anfänger · tägliche lockere Straßenläufe · kurze bis mittlere Distanzen","Débutant · sorties quotidiennes faciles · distances courtes à moyennes","assets/shoes/asics--gel-excite-11.webp"
"ADIDAS","Galaxy 7","ENTRY LEVEL","DAILY TRAINER","Road","Neutral","6 mm","Cloudfoam | Durable textile upper | TPU outsole","Beginner · short easy road runs · everyday use","Anfänger · kurze lockere Straßenläufe · Alltag","Débutant · sorties route courtes et faciles · quotidien","assets/shoes/adidas--galaxy-7.webp"
"ADIDAS","Runblaze","ENTRY LEVEL","DAILY TRAINER","Road","Neutral","–","Cloudfoam | Breathable mesh | Adiwear outsole","Beginner · daily training · 1–10 km","Anfänger · tägliches Training · 1–10 km","Débutant · entraînement quotidien · 1–10 km","assets/shoes/adidas--runblaze.webp"
"NEW BALANCE","520 v9","ENTRY LEVEL","DAILY TRAINER","Road","Neutral","10 mm","EVA cushioning | One-piece mesh | Rubber outsole","Beginner · first regular road runs · 10–30 km per week","Einsteiger · erste regelmäßige Straßenläufe · 10–30 km pro Woche","Débutant · premières sorties régulières · 10 à 30 km par semaine","assets/shoes/new-balance--520-v9.webp"
